,caucasian_effect_size,caucasian_p_value
calculate,-0.515743005447892,0.7618642885850492
printable,0.8573026760300199,0.11563827259668602
Opportunities,-0.1134018262881837,0.5676439798968391
dryer,-0.35125911883623784,0.6869767113720021
pulls,0.2533846307058939,0.3579954621098983
meantime,-1.048193760168218,0.932121617685487
battles,0.022183788225529206,0.48588761690618376
purely,-0.36765683910280134,0.6985850073054114
hooked,-0.5834041530193038,0.8031671639074618
CLICK,0.4275369125532822,0.2792938983810518
complaining,0.29670657004737483,0.34004460558656413
Wing,0.044821750417213826,0.4698455073853923
Tables,0.09216106680598331,0.44502901949844553
pickup,0.038648920610444795,0.480806132677002
Domestic,0.27182798327167657,0.3593705561487647
UPDATE,0.3627871582585266,0.3020899394633687
ml,-0.47125491154469795,0.7516545608460847
1962,0.2696432029973029,0.3541170853433929
applicants,0.5571379175538164,0.2171675243494371
Famous,-0.9052721158485538,0.9015666828549938
Minimum,-0.6330914963644443,0.8112052362872653
sofa,-0.18023279944233475,0.5970129518634513
nominated,0.20227724803707126,0.3868441262197456
Guidelines,-0.03604491999576706,0.5252212642074913
Drivers,0.4957987196381952,0.24576073251739028
ebony,-0.8566045966989392,0.8882967375163437
Boss,-0.9681664661656024,0.9153653360767913
Imperial,0.29126666220471586,0.3393062417586178
Pussy,-0.7504439312282107,0.8587879218813065
!!!!!!,0.4513011730923875,0.26119770700795153
investor,0.4962942764534929,0.24575650183685815
surfing,0.7922901100893766,0.13085835123200718
Bella,-1.3176086693599522,0.9712490930653578
keygen,1.1398733628577842,0.05346280403177872
1970s,0.5315668165399338,0.2315519296909031
bleeding,-0.04372297958495155,0.5228911179992886
administered,-0.08269665169255555,0.5460764203517545
revolutionary,0.7121002165492734,0.15960180642129762
avoiding,-0.844219397870534,0.8832289028758228
fare,-0.24702534249067146,0.6359078417940256
inevitable,-1.2542957092420897,0.9601814747538202
assisted,-0.18185853835780083,0.603211296342212
Lol,0.21511577882372926,0.3838378997574611
flies,-0.14480211773457494,0.5828611108815236
Newspaper,-0.2280691199844946,0.6279221781198524
Closed,-0.40762545780797144,0.7140453677063272
slice,0.22159153545816462,0.3806252920622124
911,-0.48358407849822926,0.7530336397757929
float,-0.8183779099227257,0.8754226751683296
renewed,-0.056104834057571475,0.5263917038465485
attach,-0.7165708405116112,0.8410643883600188
Changing,-0.047136413338214646,0.5279425546762253
Object,-0.28934320528344953,0.6537516425105234
cocktail,0.31654301654117073,0.3301197862465006
dildo,-0.8170709752389487,0.8735637478750781
surveillance,0.21274658321334208,0.3843928425213863
soda,-0.2917839380824351,0.6662429535044437
Mint,0.49944239867659174,0.240684289399121
prohibited,-0.46488495859974494,0.7399200976825722
Timothy,-0.39607227069049306,0.7154356033742968
ref,-0.8396495448944856,0.8803613369548242
integrate,0.35915307103558314,0.30628177475551654
pharmaceutical,0.8912821749364634,0.10236370287633378
24/7,-1.0696357089615538,0.9347020715715613
documented,-0.2942772305830193,0.6610438445887872
characteristic,0.871601003439417,0.10988975264816614
smartphone,0.06741407437890493,0.46337578408649516
jar,0.21788310355427823,0.3775754518948511
Dynamic,1.013390011968404,0.07684499865356842
algorithm,-0.20687371073574976,0.6132972312799096
Absolutely,0.5812882610498256,0.20610979915614014
guards,-0.14785778563552646,0.5833034950941484
yarn,-0.3914635171827039,0.7104612395877756
Ronald,-0.7486506907034715,0.8565777235524332
FT,-0.16062574729645632,0.5934023017897518
Independence,0.3082935613332512,0.3310247384996605
-----,0.2398702354936855,0.36575132521636733
typing,0.16042560362288436,0.407902898489904
Duncan,-0.46913757452737637,0.7440351359442943
HDTV,-0.259386782578943,0.6480200529184007
assembled,0.3344848573743335,0.31027043160419887
Period,0.23370233739814497,0.36708530876005685
locks,-0.2500994838083378,0.6349367743179
Partnership,0.3861448741908524,0.29217674374616787
Banking,0.37374744567213053,0.29932523630162766
rifle,-0.3891260057614881,0.7130343775441895
Rest,-0.711759971587499,0.8425489336862514
spite,-0.37197353458128607,0.7026705312894008
vaccine,0.4208819910246227,0.2844733358071967
weakness,-0.710151451464835,0.8416300440143804
sandwich,0.7340580676176168,0.15584303575857983
Deck,-0.368703125685289,0.6965037927901611
sins,-1.1332448333906953,0.9433946662245869
disposal,-0.21555693031533082,0.6181121222301003
farms,-0.326366042327236,0.677581799720282
schedules,0.45542564439207067,0.25622918932334404
lonely,-0.9775432116337901,0.9169642392638219
Sister,-1.47115336618284,0.9816372972534746
cattle,0.13792197500108905,0.4231741435843368
Thought,-1.1027393341053664,0.9408616533899884
PT,0.12687035294500895,0.42929792597147476
organizing,0.6797834086751787,0.1701252588502511
devil,-0.07172561905518893,0.5424231817304808
consultants,0.5983262984314852,0.19919578142501648
mill,0.3716317566287847,0.2990223066220461
Haiti,0.5160068856867113,0.23731290832017216
kidding,0.16096565492938075,0.40427697716885624
firing,0.29244675543887094,0.3420957692553821
integral,0.10221878041665809,0.4395347599640783
instrumental,0.13173046436632688,0.4241984825668228
Christina,-1.04196467820325,0.9289754451005723
Cal,0.016208285846368676,0.49553096842479216
transfers,0.12109947203634458,0.43693372447045054
Coverage,0.14366841000346897,0.42442149334333157
Generally,0.30872213153459876,0.3355602084869811
9.99,-0.4048083391454777,0.7175409904955952
Lesson,-0.6362652674311496,0.8155919441738417
Wake,0.22939798094298783,0.3754393748368626
functioning,0.3172931460053742,0.33147374252495065
moms,-0.34308888020235695,0.6911707222478034
mandatory,0.35770177118453894,0.3051831867204654
Neck,-0.848147003089943,0.8823554373581941
internationally,0.6888817875013196,0.1617577522686201
minimize,-1.3835604837251452,0.9745914311206768
Handle,-1.0873628467186085,0.9360139489428774
BP,-0.34429402472196047,0.6829270380424617
nylon,-0.5005490838434674,0.7620722278080543
LIFE,-0.6186443586374363,0.8056424065755428
transmitted,-0.17696046175767213,0.5981572098581212
AU,-0.2627963311929816,0.6413859314413946
Acts,-0.7658145087371144,0.85552564030135
planted,-0.10652302330508882,0.5576537073914506
Lesbian,0.3422666903912119,0.3184159447837204
Calif.,0.43652191609261154,0.2685659765575781
applicant,0.6312083962600915,0.18881129670239893
charger,-0.19566912932412528,0.6118025266105674
invented,0.4507092913720785,0.2601535063613989
specification,0.778957729977826,0.14228653629411203
Kits,0.63863322172574,0.18352366230677486
Decor,-0.5620383714350673,0.7842262432736724
Ft.,-0.5733302233439541,0.7842207232548748
Armstrong,-0.6472545405636824,0.8214014851449503
SP,-0.34727056116804833,0.6948241001023415
roller,0.3374894362834809,0.311902190054978
renewable,0.8866820999833749,0.10572054153136912
hurts,-0.3182554085678895,0.6695232385602071
Cancel,-0.34608555370278365,0.6832890239950626
viruses,-0.0011238523269027118,0.4934192393087766
conspiracy,0.3581202025880686,0.30291737359909354
fifteen,1.040437920148559,0.0680236445205975
Provide,-1.0181945334581037,0.9268414094993298
graduates,0.42775731579074927,0.2726598351905726
upgrades,0.21521475377035876,0.37972846261107285
co,0.447572523122107,0.2600197660805126
hose,-0.250088290724302,0.637945037022306
MTV,0.005838026705179181,0.49815567108418723
Residence,0.36971593065623953,0.2963634595490756
farming,0.0044498981564284204,0.4955969189498206
whatsoever,1.1297854575514283,0.05529969294207249
Gov.,-0.6287047936426949,0.8179834201308195
mapping,0.13512315689119941,0.42757056555907613
Parish,0.06223513662986172,0.4682318268232587
delightful,0.3167977724780076,0.33073270252107556
Tan,-0.3560205334697114,0.6942650005170413
boasts,-1.4002627024158139,0.977245710465773
highlighted,-0.6466359672801287,0.8177868207379482
Opinion,0.33847675963768364,0.3173601223467142
realise,-0.27084696222405574,0.6431584221047442
touches,0.045957449348032295,0.47372938483823757
litigation,0.5337264232624395,0.22584283551352158
phrases,0.6049569796192353,0.19652803648994932
Worship,-0.4992585834345494,0.7566997344375417
navigate,-0.4843742468923752,0.7555475731275052
lending,-0.002332268727668953,0.5014545700894688
BS,-0.19029783174985973,0.5995786793930848
Packages,0.4200817427658896,0.2707926311883353
Southeast,0.48074943700850026,0.25039778104630783
outline,-0.5896592418524428,0.7980008849998026
Angela,0.16336541128958573,0.4084399425406763
taxi,-0.42653645465299456,0.7245020183885046
imposed,-0.023866585010969915,0.5141640356913992
"3,000",-0.25484344079974147,0.6362587974944212
Jam,-0.5872113052016116,0.7992188117983874
pond,-0.6002271145075283,0.7998595250893688
Ubuntu,-0.7396814543557917,0.8561907545215804
buses,0.138901659442493,0.4296949712253959
sticking,-0.1437126012756254,0.5839687548506871
forests,-0.1937957957512138,0.6121697586919651
Tracks,-0.8211296624558441,0.8744979768744208
hesitate,-1.3720446315203172,0.9726759758383405
inappropriate,-0.6980178987403655,0.8338063565759744
corrupt,-0.5777548848184018,0.7959045114114585
activists,0.3444286775937157,0.3121717695831212
Rare,-0.8688100539830644,0.8914945117145169
Strategies,0.5968913788464741,0.20027870078364507
lifting,0.810916108624294,0.1235554074449895
Diane,-1.1311060636159653,0.9456682774081399
booth,-1.0248722617112103,0.9269923961841362
selections,-0.030534566195666826,0.5234171577548741
Newcastle,0.16577169543757167,0.4118664417601745
avoided,-0.9742673707857765,0.9133129814036356
punk,-0.1284943493404372,0.5720765432627546
THEY,1.225761831198275,0.040974499212972915
HQ,-1.3721097406669585,0.9746038647936024
breathe,-0.8295828376831401,0.8748152101928497
Dates,0.6059710443371714,0.19615749977917818
Silk,-0.5009280417597394,0.7581519015910778
Saving,-0.21930663064750128,0.6274404580728878
mentally,0.20452636302066687,0.3893947771799806
Forex,0.0855728241514491,0.45204585789467866
MBA,0.058635887822734795,0.46736579370700415
Thunder,-0.4557045504676586,0.7343397487510513
transformed,-0.7133387788243131,0.8444210830373471
Signed,0.4460060626964864,0.270102802567882
disappeared,-0.5536931780496767,0.779596244615786
modest,-0.5701219287715562,0.7826714911423862
Increase,-0.0426105661297006,0.5306006578029498
