,x,y
",",3.358511,1.5810219
.,-32.762245,-13.83439
the,6.35494,-1.9789617
and,4.730549,1.3009751
to,13.792744,14.713789
of,6.0209417,-1.7458328
a,4.224731,-3.6140075
in,21.971233,-8.418159
"""",-2.143302,-31.506283
:,-21.658974,-22.007526
is,6.3531675,6.28935
for,5.046415,-0.09471128
I,-11.375852,18.396303
),-15.827718,-36.454056
(,-15.849209,-36.450047
that,4.374567,7.389696
-,-13.69995,-29.600262
on,17.650358,-0.4008014
you,11.979285,17.135452
with,5.26461,1.2435831
's,3.6461787,-27.887743
it,3.3308215,8.802608
The,-8.667849,-17.969097
are,8.85491,10.112887
by,-26.03751,-27.302086
at,-8.37532,-23.78778
be,7.735583,9.573384
this,-5.934919,-4.398839
as,3.4843137,2.621109
from,18.164888,-4.0241756
was,10.864464,5.097603
have,8.016218,10.997966
or,-0.5477022,4.7198944
...,-33.02108,-15.090588
your,20.217865,18.20471
not,4.7802696,12.493628
!,-36.043106,-15.850794
?,-35.127487,-13.83806
will,11.137617,14.027443
an,-6.0206304,-14.271074
n't,4.889714,16.61459
can,11.482405,15.47178
but,0.103064224,9.9878645
all,4.3575826,25.06883
my,-13.752998,20.30594
has,7.4248533,5.727491
|,-23.056133,-31.26004
do,5.9618726,17.281979
we,10.081746,12.056383
they,8.488163,11.719067
more,-5.844508,3.467654
one,3.69602,-2.6244214
about,-4.348478,21.717405
he,34.745205,8.019835
;,-12.433259,-30.467442
',-2.1202471,-31.508602
out,19.274467,-0.43319738
$,-28.006584,-22.35781
their,23.050985,18.305996
so,-3.550022,10.844127
his,33.80231,8.752126
up,19.382753,-0.86622214
It,-13.489736,-18.111526
&,-9.665123,-30.47477
like,-7.9054933,15.855525
/,-11.133718,-34.630344
1,-13.411708,-39.3343
which,4.716319,6.156478
if,1.9495076,17.233892
would,6.8034296,13.87327
our,21.736216,17.316345
[,-16.005026,-32.82733
],-16.031876,-32.78032
me,-12.783215,20.772604
who,6.1553135,10.96686
just,3.3094993,10.15282
This,-10.690923,-17.808317
time,12.217061,-9.131447
what,-4.1045485,19.496914
A,-8.171597,-16.267597
2,-12.6229725,-38.872047
had,11.493797,5.587516
when,13.812408,-3.0178292
there,0.25326395,8.883574
been,8.690663,5.8673053
some,-5.2710896,7.019173
get,13.827127,9.083715
were,10.140832,6.941178
other,4.811915,26.801208
also,4.518264,5.2854705
In,-11.470165,-22.135344
her,37.22327,6.2836156
them,19.63834,15.751483
You,-18.424925,-17.680359
new,-1.7377193,-7.961027
We,-14.171782,-14.996153
no,-2.9929051,5.1713758
any,4.503713,22.230604
>,-16.1387,-26.969915
people,1.4308978,24.542883
than,-4.8731065,2.8527877
into,20.587778,-4.8682375
only,3.0631845,5.6919165
3,-12.23082,-39.201496
how,-3.583773,19.801899
its,5.716673,4.295532
first,5.77379,-7.015231
said,-10.6273575,22.91206
i,-10.205442,16.787758
If,-12.156485,-19.128933
over,18.440908,-1.9548321
make,16.215149,17.519138
good,-10.180674,9.2453375
know,-5.2498336,20.417887
very,-6.705086,10.995741
%,-3.064876,-42.58823
am,-21.128567,-47.041176
now,9.048172,2.8955812
see,-17.536772,-0.18344966
may,8.999757,13.339874
she,36.830856,6.5617547
could,7.014362,13.505732
most,1.7591145,27.02119
then,13.28529,-2.602751
'm,-12.129876,18.46975
use,-19.71118,24.84284
these,3.5391319,25.60366
did,5.509065,14.643583
And,-14.151156,-21.146694
way,19.950586,8.05714
New,16.548216,-25.005348
4,-12.309536,-39.7957
here,-18.675762,-0.09660816
well,3.8178933,3.2649596
work,20.788795,26.63871
two,2.476944,-9.042413
=,-8.725457,-34.75765
think,-5.917179,18.718462
much,-3.9846125,9.661779
should,8.396559,14.165347
us,21.623207,15.943541
years,7.5960135,-12.654658
many,2.6562965,26.498022
back,20.900583,1.1596953
2012,-15.240848,-50.982788
because,0.7045727,11.41058
5,-11.596019,-40.216717
#,-14.688234,-41.59137
For,-12.816385,-22.315184
after,13.41252,-6.093863
He,35.314056,7.600175
need,12.407344,18.91227
year,8.280231,-12.168987
even,0.8218842,10.3807955
does,1.5634208,15.144345
really,-4.8494115,12.801499
through,20.061338,-4.6388087
want,12.054344,18.035025
great,-11.109361,9.551429
him,34.01846,8.604745
PM,-19.178541,-47.46589
where,19.00038,-7.0377216
go,15.814761,10.12539
2011,-15.48697,-51.775043
day,11.378103,-13.11672
--,-13.12256,-29.931786
such,3.9792092,30.899963
10,-10.294918,-42.297947
*,-12.047495,-34.10868
right,22.696465,3.4108949
best,-12.246493,7.3846707
made,17.273973,18.454292
're,9.950731,17.906385
