,x,y,word,cluster
her,0.4821461,-19.517384,her,10
she,-0.4891496,-19.526028,she,10
She,-4.360651,-18.298365,She,10
~,-20.627415,17.315525,~,3
women,11.715251,-7.3586254,women,9
beautiful,10.393413,-25.155272,beautiful,6
class,8.191925,-12.212468,class,5
Health,7.0967493,17.09493,Health,8
hot,0.7876377,-27.389437,hot,2
couple,-4.707378,-19.94087,couple,5
date,4.071053,-14.593094,date,5
photos,8.095753,-16.366663,photos,5
girl,-0.20416036,-25.194027,girl,2
woman,2.7987225,-21.427422,woman,2
model,12.393907,-8.816945,model,5
pictures,0.32660273,-22.216904,pictures,5
hair,14.773177,-16.578838,hair,6
girls,0.5340587,-26.59432,girls,2
Women,2.5883164,21.70534,Women,8
skin,24.911995,0.31738716,skin,9
wonderful,-5.6226287,-21.113165,wonderful,5
info,-7.1728177,-18.668537,info,5
mother,-0.259476,-18.653591,mother,9
wedding,24.894682,-12.519941,wedding,6
stories,3.9584198,-18.238459,stories,5
relationship,8.051831,-7.468455,relationship,9
Food,-5.095635,26.354689,Food,8
Her,-16.802147,5.0883512,Her,4
Hot,-13.522856,3.3632362,Hot,4
rooms,24.992916,-3.3626797,rooms,5
cell,23.089254,-0.34778884,cell,9
shopping,11.769351,-13.524807,shopping,5
Mary,-31.367264,4.688888,Mary,10
cancer,21.019348,2.8631868,cancer,9
updated,6.6458855,-11.647878,updated,5
sweet,-4.23373,-23.760345,sweet,1
models,17.058899,-5.4882464,models,5
kitchen,21.118221,-10.998931,kitchen,5
older,2.0778282,-20.08938,older,9
Wedding,12.732574,26.810804,Wedding,0
FREE,-10.429348,40.486332,FREE,7
Plus,-13.352881,17.209612,Plus,8
shoes,27.93907,-10.699016,shoes,6
Model,1.8566107,21.30462,Model,8
fashion,13.612308,-24.788174,fashion,6
cute,9.567704,-22.087242,cute,6
dress,14.340285,-24.248926,dress,6
colors,21.907581,-18.94904,colors,6
shipping,20.313044,-5.230334,shipping,5
sharing,3.1393664,-16.169674,sharing,5
beauty,8.985277,-25.128994,beauty,6
Girl,-20.838669,3.09788,Girl,3
Girls,-10.85909,3.6488488,Girls,4
Gallery,-3.8604136,14.301251,Gallery,8
classes,16.656446,-8.558214,classes,5
Sex,-8.565879,1.2504193,Sex,4
stores,18.33183,-10.175425,stores,5
sexy,-0.7888176,-30.110329,sexy,2
mom,-0.9576737,-22.231163,mom,2
teen,-0.6532704,-35.323505,teen,2
Summer,-20.3415,11.539908,Summer,3
recipe,41.493626,-18.267857,recipe,1
Shipping,4.6267323,30.058413,Shipping,0
lovely,-4.6694183,-21.923084,lovely,6
Movies,-7.1875567,0.9789043,Movies,4
Natural,0.8637245,27.656387,Natural,0
OR,-9.081129,39.47129,OR,7
marriage,12.74225,-4.139122,marriage,9
websites,8.888612,-12.692921,websites,5
pics,1.0403814,-26.504242,pics,2
Heart,-14.213163,18.92567,Heart,3
cream,38.518547,-20.108831,cream,1
pattern,18.697424,-18.975056,pattern,6
flowers,25.089087,-11.770025,flowers,6
sister,-1.7990967,-19.226254,sister,10
bedroom,25.07949,-5.7692757,bedroom,5
Style,-15.279354,22.765314,Style,0
magazine,15.039861,-10.593639,magazine,5
Magazine,-2.2463183,19.661718,Magazine,8
sample,7.081555,-16.246584,sample,5
Pictures,-14.067331,3.7076607,Pictures,4
Privacy,9.697699,19.640137,Privacy,8
Asian,-7.739665,3.8496354,Asian,4
designs,15.815689,-24.709116,designs,6
sugar,41.64217,-16.898102,sugar,1
gallery,2.2569377,-25.983477,gallery,2
clothes,10.533226,-25.948797,clothes,6
tea,38.657864,-17.965761,tea,1
reserved,3.9859412,-13.746302,reserved,5
relationships,11.769945,-3.7939205,relationships,9
Fashion,-9.036449,25.371378,Fashion,0
bathroom,24.882586,-6.4246397,bathroom,5
milk,40.30173,-18.675838,milk,1
pussy,-2.4238849,-36.3773,pussy,2
chocolate,39.71296,-19.57239,chocolate,1
Student,-0.9052577,18.206783,Student,8
herself,0.44363067,-19.321836,herself,10
Pink,-16.230778,21.970324,Pink,0
Queen,-16.369688,17.900457,Queen,3
Sarah,-34.972645,0.02762413,Sarah,10
Lady,-22.346115,7.3851523,Lady,3
Dance,-6.195929,15.293139,Dance,3
Rose,-27.574066,-2.7518764,Rose,3
WITH,-8.756215,38.868954,WITH,7
Beautiful,-22.108805,3.9232583,Beautiful,3
therapy,20.522657,2.387606,therapy,9
mature,0.6518029,-34.943478,mature,2
Hair,5.338227,26.027885,Hair,0
clothing,15.306425,-22.52036,clothing,6
foods,40.166763,-16.280083,foods,1
accessories,22.691597,-19.074673,accessories,6
pink,11.08087,-26.482767,pink,6
cake,38.878624,-21.626106,cake,1
affordable,11.407012,-12.876888,affordable,5
Enjoy,-24.63538,-0.69860435,Enjoy,3
shower,14.034427,-15.420043,shower,5
lady,-2.4996984,-21.83801,lady,2
Shoes,13.994963,26.452679,Shoes,0
Beauty,-17.537827,19.152225,Beauty,3
Bed,11.062574,24.559011,Bed,0
Miss,-26.877926,5.443986,Miss,10
jewelry,29.075953,-11.304159,jewelry,6
fabric,27.235552,-13.881734,fabric,6
designer,22.044962,-15.75222,designer,6
tiny,7.2743645,-24.303196,tiny,5
organic,39.713764,-15.672439,organic,1
Dress,9.588653,29.778433,Dress,0
blogs,8.584132,-13.032889,blogs,5
nude,0.13526657,-35.18229,nude,2
recipes,41.575817,-17.522717,recipes,1
♥,0.6487193,13.992302,♥,3
breast,26.77407,0.034021,breast,9
LOVE,-12.136072,41.36657,LOVE,7
Cancer,10.099519,17.85239,Cancer,8
MS,6.5757427,15.506713,MS,8
Bag,6.2869167,29.42871,Bag,0
Kelly,-37.32003,-9.346461,Kelly,10
wet,1.958932,-27.490364,wet,2
Mom,-16.684057,5.3543606,Mom,4
parent,8.488164,-7.256034,parent,9
Elizabeth,-32.012398,4.2904615,Elizabeth,10
bath,25.823122,-5.806397,bath,5
Picture,-19.60127,10.609933,Picture,8
patterns,18.825157,-18.332129,patterns,6
gorgeous,9.634771,-26.102669,gorgeous,6
delicious,38.469723,-21.236477,delicious,1
Sweet,-22.695122,0.5465889,Sweet,3
cum,0.118683055,-38.690296,cum,2
naked,-0.8573337,-31.113182,naked,2
Teen,-9.644467,0.7965533,Teen,4
Ann,-33.306297,1.406204,Ann,10
Perfect,-24.815687,-2.7916255,Perfect,3
attractive,7.5633225,-26.172274,attractive,5
Jewelry,12.607067,27.817722,Jewelry,0
blonde,-1.2103486,-36.75531,blonde,2
ladies,7.7250752,-25.318562,ladies,6
Write,-16.878328,14.017964,Write,8
swimming,20.09375,-6.968315,swimming,5
Kim,-28.502632,6.3434186,Kim,10
availability,7.785598,-11.345805,availability,5
authors,8.331672,-10.235871,authors,5
loving,-0.8166228,-20.98725,loving,5
Victoria,-26.412247,6.6671543,Victoria,10
Jane,-33.820126,-0.22824493,Jane,10
MORE,-12.7119,39.989803,MORE,7
flower,20.3227,-19.926386,flower,6
Tea,-0.69703346,26.446188,Tea,3
Halloween,-7.861354,13.002015,Halloween,3
Clear,-10.120715,22.902641,Clear,0
Crystal,-13.955156,21.052011,Crystal,0
holidays,17.695772,-11.024344,holidays,5
pregnant,3.7753716,-21.086369,pregnant,9
Sexy,-11.013255,1.6504154,Sexy,4
stunning,11.6483555,-24.737171,stunning,6
eggs,40.95488,-17.40716,eggs,1
Fitness,6.582506,19.822424,Fitness,8
Jennifer,-34.263664,-5.799224,Jennifer,10
samples,9.441771,-14.357014,samples,5
matching,8.306423,-27.11011,matching,6
trends,11.266536,-12.618459,trends,5
sensitive,7.0267205,-7.076143,sensitive,9
NOW,-13.003971,39.693943,NOW,7
Cream,-3.272206,27.578451,Cream,3
HERE,-13.65436,39.788017,HERE,7
Chocolate,-3.7016883,27.7981,Chocolate,3
pregnancy,12.114958,-1.9878049,pregnancy,9
Spa,11.779139,22.630892,Spa,0
Skin,3.3793106,22.929024,Skin,0
Floor,7.469726,25.916145,Floor,0
Kate,-37.026176,-4.216405,Kate,10
Lisa,-41.38012,-9.541507,Lisa,10
singer,18.281929,-2.893974,singer,10
Ms.,-30.913692,5.519822,Ms.,10
Susan,-36.18244,1.0155619,Susan,10
nursing,13.8779125,-1.3778509,nursing,9
coupon,21.867146,-4.20551,coupon,5
Flowers,-11.769656,23.799194,Flowers,0
layout,17.27154,-14.284923,layout,5
Secret,-20.659565,10.661953,Secret,3
depression,20.882193,2.0654664,depression,9
egg,39.791336,-18.55748,egg,1
fabulous,-6.0780025,-21.044136,fabulous,6
babies,6.8114862,-7.0544786,babies,9
oral,27.956043,-0.7594818,oral,9
Amy,-42.2033,-9.0333185,Amy,10
Anne,-34.13656,0.31454217,Anne,10
romantic,16.66187,-15.492381,romantic,5
newest,-6.917773,-19.31976,newest,5
elegant,16.5228,-24.159096,elegant,6
massage,27.561016,-1.4794325,massage,5
Simply,-24.28819,-2.4469497,Simply,3
Reserved,-9.739433,16.546223,Reserved,8
Dakota,1.8799964,16.353506,Dakota,8
Recipe,-2.1728761,24.621544,Recipe,1
Pretty,-22.195726,1.5952752,Pretty,3
couples,12.01164,-7.6142187,couples,5
Anna,-35.244823,-4.0670104,Anna,10
teens,0.80668825,-29.928547,teens,2
Barbara,-35.14299,1.2503682,Barbara,10
Laura,-38.58565,-4.1150727,Laura,10
Ladies,-9.927766,21.889086,Ladies,0
Month,-14.760156,13.780581,Month,8
Porn,-8.613249,0.08211873,Porn,4
vegetables,42.19096,-16.231298,vegetables,1
